,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Postseason,Base Salary,Base Guaranteed Comp.
0,luciano emilio,DC ,F,29,28,2410,20,1,79,47,4,0/0,12,8,0.75,25.3,1,1,0,0.04,35,39,21,2,0,59.49,2007,reg,1,265000,293125
1,juan pablo angel,NY ,F,24,24,2125,19,5,97,53,5,5/5,13,6,0.8,19.6,2,3,2,0.21,31,20,42,2,1,54.64,2007,reg,1,1500000,1593750
2,taylor twellman,NE ,F,26,25,2283,16,3,90,55,5,0/0,7,9,0.63,17.8,1,2,1,0.12,13,41,21,2,0,61.11,2007,reg,1,325008,350008
4,maykel galindo,CHV,F,28,24,2021,12,5,55,28,5,0/0,8,4,0.53,21.8,3,3,2,0.22,44,53,30,6,0,50.91,2007,reg,1,72500,72500
5,ante razov,CHV,F,26,24,2041,11,8,85,42,4,1/1,9,2,0.49,12.9,4,5,3,0.35,37,33,30,2,0,49.41,2007,reg,1,245000,248750
8,landon donovan,LA ,M-F,25,24,2191,8,13,44,20,1,5/6,5,3,0.33,18.2,3,10,3,0.53,19,40,11,3,0,45.45,2007,reg,0,900000,900000
11,ben olsen,DC ,M,24,21,1881,7,7,29,17,3,0/0,5,2,0.33,24.1,2,6,1,0.33,49,41,11,8,0,58.62,2007,reg,1,155000,177500
12,alejandro moreno,CLB,F,29,27,2357,7,7,54,32,1,0/0,2,5,0.27,13.0,1,4,3,0.27,54,93,32,3,0,59.26,2007,reg,0,120000,125000
13,jaime moreno,DC ,F,21,15,1439,7,6,34,18,2,4/4,5,2,0.44,20.6,1,5,1,0.38,24,30,15,3,0,52.94,2007,reg,1,250000,275000
14,joseph ngwenya,CLB,F,30,30,2362,7,4,40,23,2,0/0,5,2,0.27,17.5,0,3,1,0.15,26,60,55,4,0,57.5,2007,reg,1,51148.13,62023.13
15,pat noonan,NE ,F,27,21,1736,7,4,42,24,1,0/0,6,1,0.36,16.7,1,3,1,0.21,12,41,32,2,0,57.14,2007,reg,1,225000,227500
16,scott sealy,KC ,F,18,15,1193,7,2,33,20,2,0/0,4,3,0.53,21.2,0,0,2,0.15,7,30,23,1,0,60.61,2007,reg,1,33075,33075
17,brian ching,HOU,F,20,17,1590,7,2,48,18,3,0/0,4,3,0.4,14.6,0,0,2,0.11,31,46,15,1,0,37.5,2007,reg,1,220000,220000
18,andy dorman,NE ,M,30,27,2269,7,2,48,27,2,0/0,4,3,0.28,14.6,0,1,1,0.08,28,18,4,5,0,56.25,2007,reg,1,30870,30870
19,nate jaqua,HOU,F,25,19,1772,7,2,49,19,1,0/0,6,1,0.36,14.3,0,1,1,0.1,34,29,8,6,0,38.78,2007,reg,1,112500,119525
20,chad barrett,CHI,F,30,25,1983,7,2,59,37,2,1/1,5,2,0.32,11.9,0,2,0,0.09,21,22,37,3,0,62.71,2007,reg,1,41212.5,48712.5
21,carlos ruiz,DAL,F,22,19,1721,7,2,59,25,0,1/1,2,5,0.37,11.9,0,0,2,0.1,46,41,23,9,1,42.37,2007,reg,1,325000,435000
