,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Base Salary,Base Guaranteed Comp.
0,Jimmy Nielsen,KC ,GK,34,34,3060,102,77,27,0.79,3/4,18,7,9,15,52.9,75.5,2012,reg,200000,220000
1,Donovan Ricketts,MTL,GK,33,33,2913,143,87,52,1.58,8/8,12,14,5,5,36.4,60.8,2012,reg,250000,275000
2,Andy Gruenebaum,CLB,GK,33,33,2920,166,124,41,1.24,3/4,13,12,7,8,39.4,74.7,2012,reg,77000,78666.67
3,Tally Hall,HOU,GK,33,33,2946,129,88,39,1.18,5/5,14,8,11,12,42.4,68.2,2012,reg,120000,129375
4,Jon Busch,SJ ,GK,32,32,2835,123,77,40,1.25,4/5,17,5,9,7,53.1,62.6,2012,reg,155004,166337.33
5,Matt Pickens,COL,GK,32,32,2859,155,107,49,1.53,1/2,9,19,4,7,28.1,69.0,2012,reg,178538,181038
6,Dan Kennedy,CHV,GK,32,32,2880,167,109,54,1.69,2/2,7,17,8,7,21.9,65.3,2012,reg,175000,175000
7,Zac MacMath,RSL,GK,32,32,2880,139,93,43,1.34,3/4,10,17,5,8,31.3,66.9,2012,reg,90000,135000
8,Sean Johnson,NYC,GK,31,31,2766,143,108,38,1.23,2/3,16,10,5,5,51.6,75.5,2012,reg,90000,123000
9,Troy Perkins,MTL,GK,31,31,2767,148,101,43,1.39,4/4,8,14,8,7,25.8,68.2,2012,reg,190000,201833.33
10,Nick Rimando,RSL,GK,31,31,2790,116,83,33,1.06,2/4,16,11,4,12,51.6,71.6,2012,reg,170000,178250
11,Kevin Hartman,DAL,GK,30,30,2700,148,98,42,1.4,2/5,9,11,10,6,30.0,66.2,2012,reg,165000,185000
12,Matt Reis,NE ,GK,27,27,2430,133,92,39,1.44,3/3,6,14,7,6,22.2,69.2,2012,reg,157000,159666.67
13,Josh Saunders,LA ,GK,27,27,2430,118,80,36,1.33,0/1,16,7,4,9,59.3,67.8,2012,reg,74545,77678.75
14,Milos Kocic,TOR,GK,27,27,2430,129,82,47,1.74,0/1,5,16,6,3,18.5,63.6,2012,reg,44100,44100
15,Joe Cannon,VAN,GK,26,26,2277,109,73,34,1.31,2/2,8,10,7,8,30.8,67.0,2012,reg,166250,175666.67
16,Bill Hamid,DC,GK,24,24,2087,113,88,24,1.0,1/1,13,6,4,8,54.2,77.9,2012,reg,70000,84750
17,Michael Gspurning,SEA,GK,21,21,1845,77,59,15,0.71,2/2,12,4,5,8,57.1,76.6,2012,reg,200000,275000
18,Ryan Meara,RBNY,GK,18,18,1620,90,59,27,1.5,1/1,9,5,4,3,50.0,65.6,2012,reg,33750,33750
19,Bill Gaudette,LA ,GK,15,15,1350,62,38,20,1.33,1/1,5,5,5,3,33.3,61.3,2012,reg,60000,63255
20,Bryan Meredith,VAN,GK,12,10,990,36,20,14,1.4,0/0,3,3,5,3,25.0,55.6,2012,reg,33750,33750
