,Feature,Mean,Range +/-
0,Games_Played,0.7897126894689016,0.02801977850590536
1,Games_Started,0.9514528201819596,0.0263615256435375
2,Total_Minutes_Played,3.042021915759574,0.0853274380666407
3,Goals,0.3224339455854591,0.039820270202388146
4,Assists,0.030198861535834957,0.0034008900079717528
5,Shots,1.0262875421733857,0.05152915740114039
6,Shots_On_Goal,1.0511028349408036,0.05012687446180494
7,Game_Winning_Goals,0.05643189299310955,0.009151652140994853
8,Penalty_Kick_Conversion_Rate,0.12709791636505618,0.013398231772185604
9,Home_Goals,0.09553918356372147,0.015031749850400867
10,Road_Goals,0.03612570364683639,0.0049572596213673485
11,Goals_per_90_Minutes,0.07239036337189785,0.007687626639982774
12,Shots_Conversion,0.08536867350854509,0.0057674850629440685
13,Game_Winning_Assists,0.051403891838767014,0.00570231072100564
14,Home_Assists,0.027734619736761352,0.003578440069943893
15,Road_Assists,0.026383211978026466,0.00442276122049219
16,Assists_per_90_Minutes,0.008693010753177136,0.0022176309271472725
17,Fouls_Committed,0.19043772036515555,0.011295638077339566
18,Fouls_Suffered,0.18748186003528827,0.009163651147708805
19,Offsides,0.1012707068406605,0.008874810539452993
20,Yellow_Cards,0.056024546031703905,0.012116429845241092
21,Red_Cards,0.010107989229696327,0.002886056140261789
22,Shots_On_Goal_Rate,0.07202238198269548,0.006224827094309034
23,Year,0.25390116083542824,0.006977104357175557
24,Postseason,-0.0020144418475381474,0.0030453364593369396
25,Defender,0.018678988964929432,0.0034707853129442934
26,Forward,0.0025447958026172906,0.002624963019919241
27,Midfielder,0.0016988567273852006,0.002967471282067908
28,Minimum_Salary,0.8009741630889594,0.02277349849642922
29,Penalty_Kicks_Scored,0.3030802663487603,0.011868357835558629
30,Penalty_Kicks_Taken,0.529458050731554,0.05816462933698448
31,Salary Cap,1.7166540551042928,0.0787215127404722
32,Maximum Salary,0.03384150942565371,0.0039266498394304634
33,Bonus Pay,0.968912628575022,0.13118624494907166
