,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%,GWA,HmA,RdA,A/90min,FC,FS,OFF,YC,RC,SOG%,Year,Season,Base Salary,Base Guaranteed Comp.
0,chris wondolowski,SJ,F,32,31,2813,27,7,127,55,11,5/7,13,14,0.86,21.3,0,4,3,0.22,19,25,28,3,0,43.31,2012,reg,300000,300000
1,kenny cooper,NY ,F,33,26,2505,18,3,84,46,7,3/3,11,7,0.65,21.4,1,3,0,0.11,36,28,20,3,0,54.76,2012,reg,275000,292500
2,alvaro saborio,RSL,F,31,26,2390,17,3,87,40,6,3/3,13,4,0.64,19.5,0,1,2,0.11,35,37,37,5,0,45.98,2012,reg,350000,405625
3,robbie keane,LA ,F,28,28,2519,16,9,94,43,6,1/2,9,7,0.57,17.0,5,6,3,0.32,15,34,27,0,0,45.74,2012,reg,2917241,3417242.75
4,thierry henry,NY ,F,25,24,2108,15,12,88,37,3,0/0,10,5,0.64,17.0,3,9,3,0.51,18,26,24,5,0,42.05,2012,reg,5000000,5600000
6,fredy montero,VAN,F,33,28,2576,13,8,126,46,3,0/0,4,9,0.45,10.3,3,4,4,0.28,63,68,24,5,1,36.51,2012,reg,600000,756000
7,alan gordon,SJ ,F,23,13,1297,13,7,43,25,4,0/0,8,5,0.9,30.2,2,5,2,0.49,54,35,15,7,1,58.14,2012,reg,110000,120000
8,chris pontius,DC ,M,31,26,2339,12,4,71,29,6,1/1,6,6,0.46,16.9,2,3,1,0.15,19,49,5,3,0,40.85,2012,reg,155000,166250
9,will bruin,SEA,F,32,31,2510,12,4,78,35,0,0/0,6,6,0.43,15.4,1,2,2,0.14,14,20,12,1,0,44.87,2012,reg,90000,135000
10,kei kamara,COL,F,33,32,2871,11,8,134,49,4,2/3,6,5,0.34,8.2,4,6,2,0.25,46,63,12,3,0,36.57,2012,reg,210000,212500
11,saer sene,NE ,M,25,23,1934,11,3,75,35,2,1/1,8,3,0.51,14.7,1,2,1,0.14,20,37,15,0,0,46.67,2012,reg,138000,148843.79
12,steven lenhart,SJ ,F,26,18,1623,10,2,64,33,2,0/0,7,3,0.55,15.6,0,2,0,0.11,52,46,27,7,1,51.56,2012,reg,180000,187500
13,landon donovan,LA ,M-F,26,25,2256,9,14,65,29,3,2/2,4,5,0.36,13.8,5,6,8,0.56,33,43,5,6,0,44.62,2012,reg,2400000,2400000
14,patrice bernier,MTL,M,27,25,2194,9,8,32,15,1,6/6,7,2,0.37,28.1,4,7,1,0.33,43,16,0,5,0,46.88,2012,reg,130000,149333.25
15,fabian espindola,RSL,F,30,27,2293,9,7,69,30,4,0/0,3,6,0.35,13.0,3,3,4,0.27,46,36,21,7,1,43.48,2012,reg,125000,125000
16,jairo arrieta,CLB,F,18,18,1534,9,4,41,21,2,0/0,5,4,0.53,22.0,3,3,1,0.23,21,19,41,1,0,51.22,2012,reg,216000,225375
17,blas perez,DAL,F,20,19,1705,9,4,53,23,0,0/1,3,6,0.48,17.0,2,4,0,0.21,33,37,18,3,1,43.4,2012,reg,285000,309250
18,danny koevermans,TOR,F,16,12,1186,9,2,39,24,1,0/0,3,6,0.68,23.1,1,1,1,0.15,23,12,16,2,0,61.54,2012,reg,1150000,1563323.33
19,eddie gaven,CLB,M,34,34,2990,9,2,55,27,1,0/0,6,3,0.27,16.4,1,1,1,0.06,29,61,10,2,0,49.09,2012,reg,190000,195000
20,cj sapong,CHI,F,31,24,2210,9,2,61,24,5,0/0,5,4,0.37,14.8,0,2,0,0.08,38,51,16,2,0,39.34,2012,reg,65000,82000
21,brad davis,HOU,M,31,28,2523,8,12,53,22,3,3/4,5,3,0.29,15.1,4,8,4,0.43,40,35,0,3,0,41.51,2012,reg,265000,312062.5
