,Feature,Mean,Range +/-
0,Games_Played,0.13708763077891356,0.01915940716585016
1,Games_Started,0.17359627879258868,0.01261394557025862
2,Total_Minutes_Played,0.7088131602407534,0.03526026529677588
3,Goals,0.07838220744181051,0.012434702957798305
4,Assists,0.01153118625150168,0.0034882765748996958
5,Shots,0.24246390051973404,0.022888123767376832
6,Shots_On_Goal,0.17616940619820162,0.014915807871419991
7,Game_Winning_Goals,0.02004481693652222,0.004003846930258897
8,Penalty_Kick_Conversion_Rate,0.018923577310371777,0.0046457761630003735
9,Home_Goals,0.017070016314077327,0.00912396383068247
10,Road_Goals,0.008344272697940898,0.003678565429556131
11,Goals_per_90_Minutes,0.0061201393538448225,0.008061779558745492
12,Shots_Conversion,0.006766495828049113,0.008543576352696619
13,Game_Winning_Assists,0.008142858248653044,0.005279788991505941
14,Home_Assists,-0.0003597723069945398,0.0029193307423176443
15,Road_Assists,0.00712580888950309,0.0022311107457189715
16,Assists_per_90_Minutes,0.0006062679073549516,0.0008785826187901141
17,Fouls_Committed,0.037222467738797026,0.013947614269676655
18,Fouls_Suffered,0.014279177623828684,0.009629333199371416
19,Offsides,0.041700517515115366,0.009857799228517199
20,Yellow_Cards,0.03202841408582478,0.014135675928809457
21,Red_Cards,0.0009760044462828706,0.0026389024061698307
22,Shots_On_Goal_Rate,0.012494373094797673,0.005325092096091015
23,Year,0.029385337926542177,0.011847118112259029
24,Postseason,0.00722956855322379,0.006674602424005521
25,Defender,0.00025200812897224756,0.0027334204755100296
26,Forward,0.00034827207890194927,0.003054725406197276
27,Midfielder,0.0031691583210608906,0.004941861409333152
28,Minimum_Salary,0.10185857807084578,0.013586005793760148
29,Penalty_Kicks_Scored,0.12503724808073174,0.007340037068701954
30,Penalty_Kicks_Taken,0.17609568281003385,0.019662663724974078
31,Salary Cap,0.30045940527339793,0.02690269824912512
32,Bonus Pay,0.9065691315363144,0.057921799764109654
