,Feature,Mean,Range +/-
0,Games_Played,52105.94665402379,6783.993038038182
1,Games_Started,64854.10231256541,4309.87360139076
2,Total_Minutes_Played,217866.9668487323,8695.896900068556
3,Goals,30740.63873859517,4669.211807782906
4,Assists,4705.389803086635,1414.3826778452544
5,Shots,87717.5768295506,7418.840132387432
6,Shots_On_Goal,65724.79164430605,5096.528795908299
7,Game_Winning_Goals,8137.859080391814,1604.9052739702715
8,Penalty_Kick_Conversion_Rate,7686.345121086361,1868.2820169986333
9,Home_Goals,6925.633190412884,3678.856003020419
10,Road_Goals,3410.5203640991376,1496.5229772147088
11,Goals_per_90_Minutes,2490.693540101578,3304.2437627559957
12,Shots_Conversion,2752.503851853057,3485.79051162943
13,Game_Winning_Assists,3324.95444549411,2138.6144600825846
14,Home_Assists,-150.2412149571736,1199.9558930140602
15,Road_Assists,2916.3961477662456,909.7818507900179
16,Assists_per_90_Minutes,249.06068615642727,361.32612756684443
17,Fouls_Committed,14919.308143398352,5415.729558684055
18,Fouls_Suffered,5797.657596749548,3878.4402087704266
19,Offsides,16696.707119962444,3836.123543705077
20,Yellow_Cards,12868.637859725628,5571.210968856223
21,Red_Cards,399.3658481157365,1083.5863793020512
22,Shots_On_Goal_Rate,5091.5823260841,2156.318972729983
23,Year,11834.543038938351,4730.340655856341
24,Postseason,2948.5851010035994,2721.5747622465437
25,Defender,101.67574627750243,1124.5604299986774
26,Forward,140.7691104291977,1256.1616475849717
27,Midfielder,1294.5144726113786,2027.4340993174321
28,Minimum_Salary,39445.03031639564,4990.745880734546
29,Penalty_Kicks_Scored,47866.89004834334,2630.362904195317
30,Penalty_Kicks_Taken,65674.90064407907,6720.011027012945
31,Salary Cap,106046.85351535612,8281.2076692838
32,Bonus Pay,264333.0731646233,13171.05782645849
